signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
79531,79532,79536,-1,4565.518,4573.455,-7.936999999999898
79697,79698,79702,-1,4534.615,4540.455,-5.8400000000001455
79847,79848,79852,-1,4534.925,4558.055,-23.13000000000011
79853,79854,79858,-1,4553.765,4556.835,-3.069999999999709
79860,79861,79865,1,4557.605,4553.065,-4.539999999999964
80029,80030,80034,1,4576.568,4579.448,2.880000000000109
80089,80090,80094,1,4587.205,4579.315,-7.890000000000327
80114,80115,80119,-1,4572.445,4574.985,-2.5399999999999636
80412,80413,80417,-1,4533.105,4539.285,-6.180000000000291
80422,80423,80427,1,4539.155,4539.855,0.6999999999998181
80438,80439,80443,-1,4533.435,4539.775,-6.339999999999236
80467,80468,80472,1,4548.805,4545.755,-3.050000000000182
80727,80728,80732,-1,4535.855,4527.055,8.799999999999272
80810,80811,80815,1,4531.975,4536.555,4.579999999999927
80850,80851,80855,1,4545.825,4535.955,-9.86999999999989
80869,80870,80874,-1,4532.665,4523.605,9.0600000000004
80890,80891,80895,-1,4512.355,4500.815,11.539999999999964
80897,80898,80902,-1,4498.095,4481.215,16.88000000000011
80905,80906,80910,1,4482.665,4472.865,-9.800000000000182
81225,81226,81230,1,4494.195,4494.935,0.7400000000006912
81409,81410,81414,-1,4480.095,4481.375,-1.2799999999997453
81444,81445,81449,-1,4491.055,4493.035,-1.9799999999995634
81469,81470,81474,-1,4483.005,4484.855,-1.8499999999994543
81477,81478,81482,-1,4480.635,4488.035,-7.399999999999636
81485,81486,81490,-1,4484.255,4485.395,-1.1400000000003274
81493,81494,81498,1,4491.348,4501.805,10.457000000000335
81499,81500,81504,1,4506.795,4502.885,-3.9099999999998545
81565,81566,81570,-1,4460.185,4466.375,-6.1899999999996
81579,81580,81584,1,4482.325,4481.435,-0.8899999999994179
81799,81800,81804,1,4475.535,4476.615,1.0799999999999272
81817,81818,81822,-1,4463.808,4471.245,-7.436999999999898
82143,82144,82148,-1,4492.855,4491.815,1.0399999999999636
82171,82172,82176,-1,4494.265,4496.135,-1.8699999999998909
82219,82220,82224,1,4502.625,4502.425,-0.1999999999998181
82250,82251,82255,-1,4495.058,4499.745,-4.686999999999898
82286,82287,82291,-1,4485.835,4484.515,1.319999999999709
82324,82325,82329,1,4483.028,4500.235,17.206999999999425
82668,82669,82673,-1,4545.475,4546.485,-1.0099999999993088
82689,82690,82694,-1,4545.325,4545.235,0.09000000000014552
82737,82738,82742,-1,4542.648,4539.455,3.193000000000211
82787,82788,82792,-1,4539.148,4540.275,-1.126999999999498
82864,82865,82869,1,4550.035,4543.295,-6.739999999999782
82874,82875,82879,-1,4538.448,4542.115,-3.6669999999994616
82909,82910,82914,-1,4539.728,4542.865,-3.1369999999997162
82919,82920,82924,1,4554.435,4560.105,5.669999999999163
83157,83158,83162,-1,4530.585,4530.265,0.31999999999970896
83340,83341,83345,1,4534.735,4533.315,-1.4200000000000728
83358,83359,83363,1,4535.675,4529.255,-6.420000000000073
83474,83475,83479,-1,4524.095,4509.685,14.409999999999854
83483,83484,83488,1,4514.355,4508.685,-5.669999999999163
83637,83638,83642,-1,4504.485,4501.675,2.8099999999994907
83659,83660,83664,-1,4496.735,4492.195,4.539999999999964
83681,83682,83686,1,4511.185,4512.165,0.9799999999995634
83889,83890,83894,1,4542.745,4536.255,-6.489999999999782
84229,84230,84234,-1,4531.125,4533.195,-2.069999999999709
84236,84237,84241,-1,4532.475,4531.925,0.5500000000001819
84250,84251,84255,1,4536.495,4533.545,-2.949999999999818
84280,84281,84285,-1,4529.548,4529.848,-0.3000000000001819
84289,84290,84294,1,4533.605,4525.565,-8.039999999999964
84559,84560,84564,1,4530.265,4528.295,-1.9700000000002547
84565,84566,84570,1,4530.815,4532.475,1.660000000000764
84572,84573,84577,1,4532.985,4532.785,-0.1999999999998181
84582,84583,84587,-1,4529.398,4512.155,17.243000000000393
84589,84590,84594,1,4514.595,4518.885,4.289999999999964
84633,84634,84638,1,4526.315,4526.855,0.5399999999999636
84957,84958,84962,-1,4519.315,4528.845,-9.530000000000655
84969,84970,84974,-1,4529.955,4526.765,3.1899999999996
85009,85010,85014,-1,4524.785,4523.295,1.4899999999997817
85042,85043,85047,-1,4520.055,4521.295,-1.2399999999997817
85278,85279,85283,1,4525.165,4519.815,-5.350000000000364
85489,85490,85494,1,4541.248,4552.568,11.320000000000618
85499,85500,85504,1,4556.438,4554.568,-1.8699999999998909
85505,85506,85510,-1,4550.388,4554.038,-3.649999999999636
85556,85557,85561,1,4571.978,4574.748,2.769999999999527
85930,85931,85935,-1,4558.545,4555.965,2.5799999999999272
86047,86048,86052,-1,4553.635,4553.755,-0.11999999999989086
86250,86251,86255,-1,4568.958,4570.425,-1.467000000000553
86329,86330,86334,-1,4566.225,4563.885,2.3400000000001455
86336,86337,86341,-1,4559.385,4558.425,0.9600000000000364
86389,86390,86394,-1,4564.245,4565.725,-1.480000000000473
86396,86397,86401,1,4570.145,4563.338,-6.8070000000006985
86454,86455,86459,1,4569.528,4569.455,-0.07300000000032014
86519,86520,86524,1,4570.415,4569.295,-1.1199999999998909
86674,86675,86679,-1,4564.315,4564.585,-0.27000000000043656
86718,86719,86723,1,4571.855,4571.135,-0.7199999999993452
86748,86749,86753,-1,4571.465,4569.785,1.680000000000291
86776,86777,86781,-1,4573.878,4573.808,0.06999999999970896
86788,86789,86793,1,4578.455,4578.815,0.3599999999996726
86809,86810,86814,-1,4564.078,4556.755,7.32300000000032
86815,86816,86820,1,4561.025,4559.695,-1.3299999999999272
86823,86824,86828,1,4560.375,4559.005,-1.3699999999998909
