signal_idx,entry_idx,exit_idx,direction,entry,exit,pnl
80420,80421,80425,-1,4536.445,4537.065,-0.6199999999998909
80556,80557,80561,-1,4551.395,4549.485,1.910000000000764
80661,80662,80666,1,4539.945,4538.735,-1.2100000000000364
80735,80736,80740,1,4529.858,4533.945,4.086999999999534
80744,80745,80749,-1,4536.845,4544.545,-7.699999999999818
80874,80875,80879,1,4523.575,4523.735,0.15999999999985448
80893,80894,80898,-1,4504.825,4491.835,12.989999999999782
80899,80900,80904,1,4490.425,4474.575,-15.850000000000364
80908,80909,80913,-1,4483.015,4475.975,7.039999999999964
81228,81229,81233,1,4493.375,4493.655,0.27999999999974534
81284,81285,81289,1,4483.595,4481.388,-2.2070000000003347
81418,81419,81423,-1,4483.505,4486.035,-2.5299999999997453
81474,81475,81479,1,4484.825,4489.115,4.289999999999964
81483,81484,81488,1,4488.365,4483.315,-5.050000000000182
81489,81490,81494,1,4484.485,4496.365,11.88000000000011
81495,81496,81500,-1,4495.265,4505.015,-9.75
81531,81532,81536,-1,4494.585,4489.225,5.359999999999673
81554,81555,81559,-1,4484.015,4470.405,13.610000000000582
81560,81561,81565,-1,4471.095,4460.125,10.970000000000255
81621,81622,81626,1,4469.225,4468.435,-0.7899999999999636
81801,81802,81806,-1,4476.335,4477.485,-1.1499999999996362
81877,81878,81882,-1,4466.438,4472.638,-6.199999999999818
81889,81890,81894,1,4475.185,4476.255,1.069999999999709
81902,81903,81907,-1,4481.905,4479.745,2.1599999999998545
82044,82045,82049,1,4481.175,4483.495,2.319999999999709
82172,82173,82177,1,4494.615,4493.238,-1.376999999999498
82178,82179,82183,1,4492.955,4498.005,5.050000000000182
82189,82190,82194,1,4499.015,4496.665,-2.350000000000364
82252,82253,82257,-1,4499.325,4500.635,-1.3100000000004002
82279,82280,82284,1,4490.245,4489.808,-0.43699999999989814
82285,82286,82290,1,4489.825,4484.335,-5.489999999999782
82665,82666,82670,-1,4547.445,4547.425,0.019999999999527063
82739,82740,82744,1,4539.408,4539.445,0.03699999999935244
82788,82789,82793,1,4539.325,4541.468,2.143000000000029
82795,82796,82800,-1,4541.075,4538.805,2.269999999999527
82924,82925,82929,-1,4560.078,4558.455,1.623000000000502
82939,82940,82944,1,4567.935,4562.445,-5.490000000000691
83159,83160,83164,1,4531.105,4530.425,-0.6799999999993815
83179,83180,83184,1,4525.365,4524.678,-0.6869999999998981
83231,83232,83236,-1,4536.025,4531.345,4.6799999999993815
83334,83335,83339,1,4522.965,4530.065,7.099999999999454
83478,83479,83483,1,4517.825,4514.385,-3.4399999999996
83489,83490,83494,1,4507.895,4514.765,6.869999999999891
83530,83531,83535,-1,4518.785,4513.845,4.9399999999996
83602,83603,83607,-1,4513.005,4513.505,-0.5
83629,83630,83634,1,4507.215,4511.805,4.5900000000001455
83635,83636,83640,1,4510.645,4503.495,-7.150000000000546
83661,83662,83666,1,4495.935,4493.665,-2.2700000000004366
83730,83731,83735,1,4504.035,4506.195,2.1599999999998545
83764,83765,83769,1,4510.925,4509.085,-1.8400000000001455
83881,83882,83886,-1,4525.075,4534.645,-9.570000000000618
84231,84232,84236,-1,4532.235,4531.845,0.3899999999994179
84242,84243,84247,-1,4532.105,4532.485,-0.38000000000010914
84281,84282,84286,-1,4528.115,4528.948,-0.8330000000005384
84290,84291,84295,-1,4532.485,4528.545,3.9399999999996
84563,84564,84568,1,4528.435,4533.395,4.960000000000036
84577,84578,84582,1,4532.945,4529.445,-3.5
84587,84588,84592,1,4512.155,4517.165,5.010000000000218
84630,84631,84635,1,4522.485,4527.215,4.730000000000473
84636,84637,84641,-1,4526.865,4525.235,1.6300000000001091
84744,84745,84749,1,4519.765,4522.145,2.380000000000109
84784,84785,84789,1,4517.185,4518.275,1.089999999999236
84866,84867,84871,1,4518.065,4513.585,-4.479999999999563
84952,84953,84957,1,4520.885,4519.345,-1.5399999999999636
84963,84964,84968,1,4529.135,4533.035,3.899999999999636
84973,84974,84978,-1,4527.125,4521.495,5.630000000000109
85010,85011,85015,-1,4523.715,4523.265,0.4499999999998181
85019,85020,85024,1,4532.505,4528.765,-3.7399999999997817
85039,85040,85044,1,4522.265,4522.505,0.23999999999978172
85277,85278,85282,-1,4519.095,4521.715,-2.619999999999891
85428,85429,85433,-1,4508.035,4506.015,2.019999999999527
85498,85499,85503,1,4554.048,4555.038,0.9899999999997817
85504,85505,85509,-1,4554.568,4554.098,0.47000000000025466
85553,85554,85558,1,4568.025,4572.445,4.420000000000073
85940,85941,85945,-1,4552.835,4560.485,-7.649999999999636
85970,85971,85975,-1,4554.545,4553.155,1.3900000000003274
86026,86027,86031,1,4561.555,4564.055,2.5
86314,86315,86319,-1,4574.895,4571.155,3.740000000000691
86331,86332,86336,1,4564.768,4559.468,-5.300000000000182
86337,86338,86342,1,4558.845,4557.355,-1.4900000000006912
86344,86345,86349,-1,4555.915,4553.625,2.2899999999999636
86352,86353,86357,-1,4555.445,4558.935,-3.490000000000691
86521,86522,86526,1,4572.975,4568.095,-4.880000000000109
86676,86677,86681,-1,4563.785,4563.745,0.03999999999996362
86719,86720,86724,1,4571.095,4571.095,0.0
86778,86779,86783,-1,4574.978,4574.298,0.680000000000291
86810,86811,86815,-1,4564.185,4561.115,3.0700000000006185
