tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,1,2026-08-05 23:35:00+00:00,1.8035714285714934,False,2026-08-05 23:35:00+00:00,1,1.0,4265.665,4269.425,3.7600000000002183
M1,IMBALANCE,1,2026-08-05 23:36:00+00:00,2.421071428571525,False,2026-08-05 23:36:00+00:00,1,1.0,4274.475,4271.885,-2.5900000000001455
M1,IMBALANCE,1,2026-08-05 23:59:00+00:00,2.9653571428572962,False,2026-08-05 23:59:00+00:00,1,1.0,4280.035,4277.045,-2.9899999999997817
M1,IMBALANCE,1,2026-08-06 00:09:00+00:00,4.142142857142842,False,2026-08-06 00:09:00+00:00,1,1.0,4277.395,4273.225,-4.170000000000073
M1,IMBALANCE,1,2026-08-06 01:02:00+00:00,4.25000000000013,False,2026-08-06 01:02:00+00:00,1,1.0,4301.645,4296.365,-5.280000000000655
M1,IMBALANCE,-1,2026-08-06 05:33:00+00:00,2.244999999999891,False,2026-08-06 05:33:00+00:00,1,1.0,4248.245,4250.635,-2.3900000000003274
M1,IMBALANCE,-1,2026-08-06 11:24:00+00:00,1.9283928571428208,False,2026-08-06 11:24:00+00:00,1,1.0,4261.215,4263.155,-1.9399999999995998
M1,IMBALANCE,-1,2026-08-06 11:49:00+00:00,2.2292857142857168,False,2026-08-06 11:49:00+00:00,1,1.0,4256.065,4258.305,-2.240000000000691
M1,IMBALANCE,-1,2026-08-06 12:09:00+00:00,2.5132142857143793,False,2026-08-06 12:09:00+00:00,1,1.0,4258.795,4258.345,0.4499999999998181
M1,IMBALANCE,-1,2026-08-06 12:22:00+00:00,2.778214285714252,False,2026-08-06 12:22:00+00:00,1,1.0,4260.495,4259.095,1.3999999999996362
M1,IMBALANCE,-1,2026-08-06 13:06:00+00:00,3.1492857142857895,False,2026-08-06 13:06:00+00:00,1,1.0,4247.805,4240.545,7.260000000000218
M1,IMBALANCE,-1,2026-08-06 13:07:00+00:00,3.3975000000000364,False,2026-08-06 13:07:00+00:00,1,1.0,4244.205,4237.035,7.170000000000073
M1,IMBALANCE,-1,2026-08-06 13:09:00+00:00,3.6975000000000233,False,2026-08-06 13:09:00+00:00,1,1.0,4240.765,4233.285,7.480000000000473
M1,IMBALANCE,-1,2026-08-06 13:10:00+00:00,4.248571428571528,False,2026-08-06 13:10:00+00:00,1,1.0,4231.455,4235.745,-4.289999999999964
M1,IMBALANCE,-1,2026-08-06 15:55:00+00:00,3.219642857142844,False,2026-08-06 15:55:00+00:00,1,1.0,4234.725,4234.005,0.7200000000002547
