tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M1,IMBALANCE,1,2026-08-06 01:02:00+00:00,4.25000000000013,False,2026-08-06 01:02:00+00:00,1,1.0,4301.645,4301.375,-0.27000000000043656
M1,IMBALANCE,-1,2026-08-06 05:33:00+00:00,2.244999999999891,False,2026-08-06 05:33:00+00:00,1,1.0,4248.245,4249.255,-1.0100000000002183
M1,IMBALANCE,-1,2026-08-06 11:24:00+00:00,1.9283928571428208,False,2026-08-06 11:24:00+00:00,1,1.0,4261.215,4262.155,-0.9399999999995998
M1,IMBALANCE,-1,2026-08-06 11:49:00+00:00,2.2292857142857168,False,2026-08-06 11:49:00+00:00,1,1.0,4256.065,4256.755,-0.6900000000005093
M1,IMBALANCE,-1,2026-08-06 12:09:00+00:00,2.5132142857143793,False,2026-08-06 12:09:00+00:00,1,1.0,4258.795,4259.565,-0.7699999999995271
M1,IMBALANCE,-1,2026-08-06 12:22:00+00:00,2.778214285714252,False,2026-08-06 12:22:00+00:00,1,1.0,4260.495,4260.505,-0.010000000000218279
M1,IMBALANCE,-1,2026-08-06 13:06:00+00:00,3.1492857142857895,False,2026-08-06 13:06:00+00:00,1,1.0,4247.805,4248.765,-0.9600000000000364
M1,IMBALANCE,-1,2026-08-06 13:07:00+00:00,3.3975000000000364,False,2026-08-06 13:07:00+00:00,1,1.0,4244.205,4245.275,-1.069999999999709
M1,IMBALANCE,-1,2026-08-06 13:09:00+00:00,3.6975000000000233,False,2026-08-06 13:09:00+00:00,1,1.0,4240.765,4241.905,-1.139999999999418
M1,IMBALANCE,-1,2026-08-06 13:10:00+00:00,4.248571428571528,False,2026-08-06 13:10:00+00:00,1,1.0,4231.455,4233.035,-1.5799999999999272
M1,IMBALANCE,-1,2026-08-06 15:55:00+00:00,3.219642857142844,False,2026-08-06 15:55:00+00:00,1,1.0,4234.725,4235.925,-1.199999999999818
M1,IMBALANCE,-1,2026-08-06 19:27:00+00:00,2.202071428571539,False,2026-08-06 19:27:00+00:00,1,1.0,4238.245,4238.925,-0.680000000000291
M1,IMBALANCE,-1,2026-08-06 19:55:00+00:00,2.2892857142857275,False,2026-08-06 19:55:00+00:00,1,1.0,4246.855,4247.545,-0.6900000000005093
M1,IMBALANCE,1,2026-08-06 23:52:00+00:00,1.3971428571428857,False,2026-08-06 23:52:00+00:00,1,1.0,4251.245,4250.175,-1.069999999999709
M1,IMBALANCE,1,2026-08-07 05:33:00+00:00,2.0567857142857844,False,2026-08-07 05:33:00+00:00,1,1.0,4271.995,4271.145,-0.8499999999994543
M1,IMBALANCE,1,2026-08-07 08:32:00+00:00,2.0557142857144624,False,2026-08-07 08:32:00+00:00,1,1.0,4300.325,4299.625,-0.6999999999998181
M1,IMBALANCE,1,2026-08-07 08:34:00+00:00,2.9292857142857947,False,2026-08-07 08:34:00+00:00,1,1.0,4311.775,4310.005,-1.769999999999527
M1,IMBALANCE,1,2026-08-07 11:21:00+00:00,2.2289285714283715,False,2026-08-07 11:21:00+00:00,1,1.0,4323.205,4322.435,-0.7699999999995271
M5,ABSORPTION,1,2026-08-07 12:20:00+00:00,4.913214285714146,False,2026-08-07 12:20:00+00:00,1,1.0,4314.785,4316.075,1.2899999999999636
M5,ABSORPTION,1,2026-08-07 12:30:00+00:00,5.711071428571358,False,2026-08-07 12:30:00+00:00,1,1.0,4311.845,4309.295,-2.550000000000182
M1,IMBALANCE,1,2026-08-07 12:40:00+00:00,10.301535714285624,False,2026-08-07 12:40:00+00:00,2,2.0,4365.165,4361.805,-6.719999999999345
