tf,edge,direction,entry_time,atr,liq,minute,agree,boost,entry,exit,pnl
M5,ABSORPTION,1,2026-08-07 12:30:00+00:00,5.711071428571358,False,2026-08-07 12:30:00+00:00,1,1.0,4311.845,4358.795,46.94999999999982
M1,IMBALANCE,1,2026-08-07 12:40:00+00:00,10.301535714285624,False,2026-08-07 12:40:00+00:00,2,2.0,4365.165,4366.845,3.360000000000582
M5,ABSORPTION,1,2026-08-07 12:40:00+00:00,10.040714285714134,False,2026-08-07 12:40:00+00:00,2,2.0,4365.165,4366.845,3.360000000000582
M5,ABSORPTION,1,2026-08-07 13:00:00+00:00,11.38642857142843,False,2026-08-07 13:00:00+00:00,1,1.0,4361.785,4347.605,-14.180000000000291
M5,ABSORPTION,1,2026-08-07 13:20:00+00:00,12.448928571428496,False,2026-08-07 13:20:00+00:00,1,1.0,4347.485,4350.345,2.860000000000582
M5,ABSORPTION,1,2026-08-07 14:15:00+00:00,9.913571428571556,False,2026-08-07 14:15:00+00:00,1,1.0,4334.805,4345.765,10.960000000000036
M1,IMBALANCE,1,2026-08-07 19:59:00+00:00,1.9171428571428675,False,2026-08-07 19:59:00+00:00,1,1.0,4344.435,4343.215,-1.2200000000002547
M1,IMBALANCE,-1,2026-08-10 01:05:00+00:00,3.727857142856984,False,2026-08-10 01:05:00+00:00,1,1.0,4326.775,4324.645,2.1299999999991996
M1,IMBALANCE,-1,2026-08-10 01:06:00+00:00,4.035714285714221,False,2026-08-10 01:06:00+00:00,1,1.0,4322.665,4323.955,-1.2899999999999636
M1,IMBALANCE,1,2026-08-10 05:34:00+00:00,1.9835714285711998,False,2026-08-10 05:34:00+00:00,1,1.0,4338.625,4339.415,0.7899999999999636
M1,IMBALANCE,1,2026-08-10 05:35:00+00:00,2.0232142857140127,False,2026-08-10 05:35:00+00:00,1,1.0,4340.725,4340.685,-0.03999999999996362
M1,IMBALANCE,1,2026-08-10 05:41:00+00:00,2.5535714285713635,False,2026-08-10 05:41:00+00:00,1,1.0,4343.625,4340.655,-2.9700000000002547
