datetime,open,high,low,close,volume
2026-03-25 07:00:00,4545.365,4562.915,4536.548,4539.065,2.28599
2026-03-25 08:00:00,4539.135,4567.475,4535.428,4556.035,1.98814
2026-03-25 09:00:00,4556.015,4567.455,4527.665,4551.755,1.76701
2026-03-25 10:00:00,4551.715,4562.265,4550.975,4558.595,1.39565
2026-03-25 11:00:00,4558.525,4585.475,4555.835,4578.665,1.69608
2026-03-25 12:00:00,4578.605,4583.385,4521.695,4543.715,2.82756
2026-03-25 13:00:00,4543.735,4576.285,4540.665,4544.565,3.33426
2026-03-25 14:00:00,4544.595,4579.075,4532.975,4566.925,3.2878
2026-03-25 15:00:00,4566.935,4568.781,4524.915,4558.725,3.11784
2026-03-25 16:00:00,4558.775,4564.78,4544.758,4555.055,2.55177
2026-03-25 17:00:00,4554.838,4563.645,4542.525,4550.365,2.12191
2026-03-25 18:00:00,4550.365,4568.695,4530.665,4537.965,2.37712
2026-03-25 19:00:00,4537.925,4539.445,4486.508,4530.835,2.54003
2026-03-25 20:00:00,4530.745,4541.755,4494.585,4505.325,1.19246
2026-03-25 22:00:00,4508.498,4534.525,4505.098,4517.058,1.26419
2026-03-25 23:00:00,4517.138,4517.518,4488.575,4497.875,2.0346
2026-03-26 00:00:00,4497.845,4538.875,4497.798,4534.938,1.8973
2026-03-26 01:00:00,4534.515,4544.275,4522.215,4534.995,2.34893
2026-03-26 02:00:00,4535.015,4535.468,4505.535,4508.465,1.86015
2026-03-26 03:00:00,4508.395,4518.555,4499.635,4516.425,1.41856
2026-03-26 04:00:00,4516.585,4523.985,4511.315,4520.225,0.86779
2026-03-26 05:00:00,4520.245,4522.095,4438.585,4438.715,1.95433
2026-03-26 06:00:00,4439.055,4459.225,4415.505,4456.175,2.64749
2026-03-26 07:00:00,4456.265,4463.665,4438.755,4452.565,1.87164
2026-03-26 08:00:00,4452.355,4459.075,4412.595,4427.455,3.2295
2026-03-26 09:00:00,4427.355,4436.695,4414.085,4423.465,2.83905
2026-03-26 10:00:00,4423.495,4447.845,4416.525,4442.898,3.03341
2026-03-26 11:00:00,4443.185,4456.505,4418.595,4422.795,3.13556
2026-03-26 12:00:00,4422.775,4445.425,4416.335,4429.355,3.15167
2026-03-26 13:00:00,4429.205,4460.205,4419.955,4452.238,4.13794
2026-03-26 14:00:00,4452.205,4479.515,4436.905,4464.695,4.54954
2026-03-26 15:00:00,4464.735,4468.618,4433.498,4437.945,4.44817
2026-03-26 16:00:00,4437.945,4442.398,4366.455,4388.965,4.35234
2026-03-26 17:00:00,4388.775,4402.215,4376.995,4381.205,3.61575
2026-03-26 18:00:00,4381.095,4397.495,4367.228,4394.255,2.48879
2026-03-26 19:00:00,4394.285,4399.145,4358.915,4363.765,2.51434
2026-03-26 20:00:00,4363.685,4420.305,4350.995,4379.375,3.09708
2026-03-26 22:00:00,4389.735,4415.145,4375.775,4410.398,1.16795
2026-03-26 23:00:00,4410.498,4413.598,4389.405,4404.665,0.86162
2026-03-27 00:00:00,4404.775,4410.835,4375.235,4378.425,1.13205
2026-03-27 01:00:00,4378.395,4420.275,4377.005,4417.045,1.46017
2026-03-27 02:00:00,4417.205,4440.225,4416.755,4431.298,1.31826
2026-03-27 03:00:00,4431.925,4445.935,4420.975,4437.265,1.07013
2026-03-27 04:00:00,4437.315,4449.315,4431.215,4446.045,0.59023
2026-03-27 05:00:00,4445.645,4474.915,4440.138,4454.315,1.35101
2026-03-27 06:00:00,4454.275,4472.555,4451.595,4459.385,1.36557
2026-03-27 07:00:00,4459.395,4462.915,4442.455,4447.435,1.13093
2026-03-27 08:00:00,4447.465,4450.388,4423.235,4423.795,1.63545
2026-03-27 09:00:00,4423.798,4438.095,4420.445,4428.615,1.84681
2026-03-27 10:00:00,4428.615,4432.585,4410.598,4414.498,1.82179
2026-03-27 11:00:00,4414.498,4426.045,4404.025,4419.745,1.83701
2026-03-27 12:00:00,4419.495,4445.045,4412.295,4437.555,2.64174
2026-03-27 13:00:00,4437.605,4443.448,4413.338,4430.675,4.30016
2026-03-27 14:00:00,4430.465,4514.455,4430.095,4509.495,5.43013
2026-03-27 15:00:00,4509.465,4554.965,4501.335,4523.685,4.66886
2026-03-27 16:00:00,4523.905,4533.285,4505.148,4515.805,2.40362
2026-03-27 17:00:00,4515.835,4521.368,4485.855,4486.395,2.61701
2026-03-27 18:00:00,4486.378,4528.365,4486.145,4516.448,2.68401
2026-03-27 19:00:00,4516.298,4525.825,4500.335,4514.115,2.11201
2026-03-27 20:00:00,4514.105,4520.295,4490.885,4492.375,0.97378
2026-03-29 22:00:00,4491.518,4514.675,4464.048,4483.998,2.06992
2026-03-29 23:00:00,4483.998,4491.898,4443.485,4448.495,2.25548
2026-03-30 00:00:00,4448.675,4466.515,4417.665,4431.775,2.73433
2026-03-30 01:00:00,4431.725,4475.415,4431.385,4469.165,2.93889
2026-03-30 02:00:00,4469.195,4498.965,4458.755,4481.065,2.35575
2026-03-30 03:00:00,4481.095,4517.445,4478.498,4495.665,1.87052
2026-03-30 04:00:00,4495.695,4498.535,4485.885,4496.325,1.13094
2026-03-30 05:00:00,4496.318,4528.215,4496.285,4522.275,1.6606
2026-03-30 06:00:00,4522.375,4550.485,4516.315,4532.395,1.84782
2026-03-30 07:00:00,4532.305,4534.635,4515.585,4526.965,1.65982
2026-03-30 08:00:00,4526.935,4540.245,4524.605,4537.935,1.9235
2026-03-30 09:00:00,4537.975,4540.365,4523.248,4532.005,1.34825
2026-03-30 10:00:00,4532.785,4539.775,4527.395,4532.125,1.05009
